"Relative poverty (share of the population) by age, municipality groups"
"and time"

" "," ","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","Bornholm",9.9,10.8,11.5,11.1,10.4,10.0,9.6,8.9
" ","Greve",7.6,8.4,8.9,8.9,8.9,8.9,8.2,7.4
" ","Køge",8.2,9.6,9.7,8.7,8.4,8.0,7.8,7.3
" ","Lejre",8.4,8.1,8.7,7.4,7.2,6.4,6.3,5.9
" ","Roskilde",8.0,8.9,8.7,8.3,8.6,7.6,6.9,6.3
" ","Solrød",6.5,7.8,7.0,6.1,6.4,6.2,5.1,4.7
" ","Faxe",9.6,11.1,11.0,10.7,10.3,9.1,8.1,7.7
" ","Guldborgsund",12.5,14.7,16.1,15.9,14.9,13.0,11.6,10.7
" ","Holbæk",9.6,10.7,11.0,10.5,10.5,9.4,8.9,7.8
" ","Kalundborg",10.7,12.1,11.7,11.6,10.9,10.1,10.2,8.5
" ","Lolland",13.7,16.2,16.7,16.2,16.6,15.3,13.4,12.1
" ","Næstved",8.8,9.9,10.9,10.6,10.1,9.7,8.8,7.9
" ","Odsherred",12.1,14.1,14.2,12.8,12.0,11.6,10.3,10.7
" ","Ringsted",7.8,8.9,9.1,9.3,9.5,7.7,7.0,6.7
" ","Slagelse",11.0,11.5,11.3,11.5,11.7,10.6,9.5,9.1
" ","Sorø",9.2,10.3,11.4,10.0,9.1,9.1,7.7,7.8
" ","Stevns",8.8,11.4,11.2,11.3,9.6,9.0,8.5,7.8
" ","Vordingborg",12.8,13.8,14.5,13.6,13.3,11.1,10.9,10.5
" ","Assens",9.5,9.6,10.5,10.2,9.4,9.4,8.5,8.2
" ","Faaborg-Midtfyn",8.1,10.0,11.1,11.0,9.9,8.8,8.3,7.9
" ","Kerteminde",7.8,9.7,10.1,10.5,10.0,9.2,8.4,7.8
" ","Langeland",12.5,14.1,14.1,15.5,13.3,12.7,12.8,10.6
" ","Middelfart",7.5,9.0,9.2,8.0,8.7,7.7,7.8,6.5
" ","Nordfyns",8.6,9.8,11.2,10.4,11.2,9.1,8.5,7.7
" ","Nyborg",9.1,11.5,12.5,11.1,10.0,9.8,8.7,8.2
" ","Odense",8.0,8.6,9.1,8.9,8.8,8.4,7.8,7.4
" ","Svendborg",11.1,13.0,13.0,12.9,12.3,11.8,12.6,11.4
" ","Ærø",6.9,9.2,10.3,10.7,10.3,8.9,8.4,10.2
" ","Billund",7.3,8.6,8.5,7.6,7.8,7.7,7.1,7.1
" ","Esbjerg",8.3,9.0,9.6,9.0,9.1,8.8,8.4,7.9
" ","Fanø",5.2,6.0,8.2,7.5,6.6,4.4,7.1,3.5
" ","Fredericia",11.4,11.1,11.8,10.7,11.5,10.9,9.8,9.8
" ","Haderslev",9.7,10.4,11.2,10.2,10.5,9.7,9.0,8.4
" ","Kolding",8.0,9.0,9.0,9.2,9.2,8.3,8.2,7.5
" ","Sønderborg",8.9,9.6,10.3,9.7,9.8,9.8,8.5,8.1
" ","Tønder",9.0,10.9,11.3,10.5,11.0,10.1,9.4,8.5
" ","Varde",7.9,9.3,8.4,8.6,8.2,7.4,6.6,6.4
" ","Vejen",8.7,10.0,9.9,9.3,9.4,8.4,7.8,6.9
" ","Vejle",7.7,9.0,9.3,8.7,8.2,7.8,7.8,7.0
" ","Aabenraa",8.5,10.3,10.2,9.3,9.9,9.1,7.9,6.9
" ","Favrskov",5.8,6.9,7.7,7.1,6.2,6.3,5.8,5.8
" ","Hedensted",6.5,7.7,7.7,7.8,7.5,6.6,6.1,6.0
" ","Horsens",9.5,10.6,10.6,9.7,9.3,9.4,8.4,7.9
" ","Norddjurs",10.0,11.0,11.2,11.2,9.5,8.8,8.3,8.8
" ","Odder",7.2,7.4,9.1,8.4,8.7,8.4,7.0,7.5
" ","Randers",9.7,10.7,11.2,11.4,11.1,10.8,10.4,10.5
" ","Samsø",8.8,11.4,13.6,11.6,11.4,9.1,9.1,9.5
" ","Silkeborg",8.2,8.9,8.9,8.3,8.3,7.4,6.9,6.4
" ","Skanderborg",6.4,7.8,8.5,7.3,7.6,6.4,5.7,5.5
" ","Syddjurs",8.3,10.1,9.9,8.8,10.1,9.1,8.3,7.0
" ","Aarhus",6.4,6.8,7.2,7.3,7.5,7.4,7.0,6.7
" ","Herning",7.7,9.3,9.3,9.3,8.8,8.0,7.5,7.2
" ","Holstebro",8.4,9.0,9.5,9.3,9.0,8.9,7.8,7.5
" ","Ikast-Brande",7.3,8.3,8.4,8.5,8.4,8.0,7.6,6.6
" ","Lemvig",7.1,8.6,8.5,8.2,7.5,7.0,5.8,6.5
" ","Ringkøbing-Skjern",7.3,7.8,7.8,7.6,7.0,6.6,6.7,6.3
